Official_name,City,Country
Melbourne Cricket Ground (MCG),Melbourne,Australia
Old Trafford Cricket Ground,Manchester,England
Lord's,London,England
Edgbaston Cricket Ground,Birmingham,England
AMI Stadium (formerly Jade Stadium and Lancaster Park),Christchurch,New Zealand
St Helen's,Swansea,Wales
Headingley Cricket Ground,Leeds,England
The Oval,London,England
Carisbrook,Dunedin,New Zealand
Trent Bridge,Nottingham,England
Basin Reserve (The Basin),Wellington,New Zealand
Adelaide Oval,Adelaide,Australia
Eden Park,Auckland,New Zealand
North Marine Road Ground,Scarborough,England
Jinnah Stadium (Sialkot Stadium),Sialkot,Pakistan
Albion Sports Complex,Albion,Guyana
Zafar Ali Stadium (Sahiwal Stadium),Sahiwal,Pakistan
Gaddafi Stadium (Lahore Stadium),Lahore,Pakistan
Antigua Recreation Ground (The Rec),St. John's,Antigua and Barbuda
Mindoo Phillip Park (Victoria Park),Castries,Saint Lucia
Ayub National Stadium (Baluchistan CA Ground),Quetta,Pakistan
Sydney Cricket Ground (SCG),Sydney,Australia
Brisbane Cricket Ground (The Gabba),Brisbane,Australia
National Stadium,Karachi,Pakistan
Western Australian Cricket Association Ground (The WACA),Perth,Australia
Arnos Vale Stadium,Kingstown,Saint Vincent
Seddon Park,Hamilton,New Zealand
Sardar Vallabhbhai Patel Stadium,Ahmedabad,India
Gandhi Stadium,Jalandhar,India
Barabati Stadium,Cuttack,India
Sinhalese Sports Club Ground (SSC),Colombo,Sri Lanka
Gandhi Sports Complex Ground (Alexandra Ground),Amritsar,India
Arun Jaitley Stadium (Feroz Shah Kotla Stadium;Kotla),New Delhi,India
Niaz Stadium,Hyderabad,Pakistan
M. Chinnaswamy Stadium (Chinnaswamy Stadium),Bangalore,India
Jinnah Stadium (Municipal Stadium),Gujranwala,Pakistan
Ibn-e-Qasim Bagh Stadium,Multan,Pakistan
Queen's Park Oval,Port of Spain,Trinidad and Tobago
McLean Park,Napier,New Zealand
Queen's Park (Old),St George's,Grenada
Paikiasothy Saravanamuttu Stadium (Saravanamuttu Stadium),Colombo,Sri Lanka
The Cooper Associates County Ground (formerly Athletic Ground),Taunton,England
Grace Road,Leicester,England
Bristol County Ground (formerly Ashley Down/Fry's/Phoenix/Royal Sun & Alliance Ground),Bristol,England
New Road,Worcester,England
County Ground,Southampton,England
Nevill Ground,Tunbridge Wells,England
Racecourse Ground,Derby,England
The Ford County Ground,Chelmsford,England
Lal Bahadur Shastri Stadium (Fateh Maidan),Hyderabad,India
Sawai Mansingh Stadium,Jaipur,India
Sher-i-Kashmir Stadium,Srinagar,India
Moti Bagh Stadium (formerly Motibaug Palace Ground),Vadodara,India
Nehru Stadium,Indore,India
Keenan Stadium,Jamshedpur,India
Nehru Stadium,Guwahati,India
Tyronne Fernando Stadium (Fernando Stadium),Moratuwa,Sri Lanka
Sharjah Cricket Stadium (Sharjah),Sharjah,United Arab Emirates
Sabina Park (Bina),Kingston,Jamaica
Jawaharlal Nehru Stadium,New Delhi,India
University Stadium,Trivandrum,India
Sardar Patel Stadium (Motera),Ahmedabad,India
Arbab Niaz Stadium,Peshawar,Pakistan
Iqbal Stadium,Faisalabad,Pakistan
Nehru Stadium (formerly Club of Maharashtra),Pune,India
Tasmania Cricket Association Ground,Hobart,Australia
"Vidarbha Cricket Association Ground (VCA, Nagpur)",Nagpur,India
Sector 16 Stadium,Chandigarh,India
Kensington Oval (The Mecca),Bridgetown,Barbados
Pindi Club Ground (Army Sports Ground),Rawalpindi,Pakistan
North Tasmania Cricket Association Ground,Launceston,Australia
Asgiriya Stadium,Kandy,Sri Lanka
Ranasinghe Premadasa Stadium (formerly Khetterama Stadium),Colombo,Sri Lanka
Madhavrao Scindia Cricket Ground (formerly Racecourse/Corporation Ground/Municipal Stadium),Rajkot,India
Modi Stadium (formerly Green Park/British India Corporation Ground),Kanpur,India
Wankhede Stadium,Mumbai,India
Formby Recreation Ground (Devonport Oval),Devonport,Australia
Eden Gardens,Kolkata,India
M. A. Chidambaram Stadium (Chepauk),Chennai,India
Bellerive Oval,Hobart,Australia
Nahar Singh Stadium (formerly Mayur Stadium),Faridabad,India
Captain Roop Singh Stadium,Gwalior,India
Bourda,Georgetown,Guyana
MA Aziz Stadium,Chittagong,Bangladesh
Bangabandhu National Stadium (Number 1 Dhaka Stadium),Dhaka,Bangladesh
Indira Priyadarshini Stadium (Municipal Corporation Vizag Stadium),Visakhapatnam,India
Brabourne Stadium,Mumbai,India
Nehru Stadium (Pandit Jawaharlal Nehru Stadium),Fatorda,India
K.D. Singh Babu Stadium,Lucknow,India
Sargodha Cricket Stadium,Sargodha,Pakistan
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
Pukekura Park,New Plymouth,New Zealand
Ray Mitchell Oval (Harrup Park),Mackay,Australia
Eastern Oval,Ballarat,Australia
Manuka Oval,Canberra,Australia
Berri Oval,Berri,Australia
Lavington Sports Oval (Lavington Sports Club),Albury,Australia
Harare Sports Club (formerly Salisbury Sports Club),Harare,Zimbabwe
Bulawayo Athletic Club,Bulawayo,Zimbabwe
Sahara Park Newlands (Newlands),Cape Town,South Africa
Axxess DSL St. Georges (St George’s Park),Port Elizabeth,South Africa
SuperSport Park (Centurion Park),Centurion,South Africa
New Wanderers Stadium (Wanderers),Johannesburg,South Africa
Goodyear Park (Springbok Park),Bloemfontein,South Africa
"Sahara Stadium, Kingsmead (Kingsmead)",Durban,South Africa
Buffalo Park,East London,South Africa
Moin-ul-Haq Stadium,Patna,India
Punjab Cricket Association Stadium (Mohali),Mohali,India
Reliance Stadium (formerly Indian Petrochemicals Corporation Limited Sports Complex Ground),Vadodara,India
Singapore Cricket Club Ground (Padang),Singapore,Singapore
"Toronto Cricket, Skating and Curling Club Ground",Toronto,Canada
Gymkhana Club Ground,Nairobi,Kenya
Nairobi Club Ground,Nairobi,Kenya
Aga Khan Sports Club Ground,Nairobi,Kenya
Bugti Stadium (formerly Racecourse Ground),Quetta,Pakistan
Queens Sports Club,Bulawayo,Zimbabwe
Boland Park (Boland Bank Park),Paarl,South Africa
Willowmoore Park (Willowmoore Park Main Oval),Benoni,South Africa
Nehru Stadium,Kochi,India
De Beers Diamond Oval (formerly Kimberley Country Club/De Beers Country Club),Kimberley,South Africa
Sheikhupura Stadium,Sheikhupura,Pakistan
Owen Delany Park,Taupo,New Zealand
National Cricket Stadium (Queen's Park),St. George's,Grenada
County Ground,Hove,England
St Lawrence Ground,Canterbury,England
County Ground (Wantage Road),Northampton,England
SWALEC Stadium (Sophia Gardens),Cardiff,Wales
County Ground (Riverside),Chester-le-Street,England
Clontarf Cricket Club Ground (Castle Avenue),Dublin,Ireland
Grange CC Ground,Edinburgh,Scotland
VRA Cricket Ground,Amstelveen,Netherlands
Galle International Stadium,Galle,Sri Lanka
Kallang Ground,Singapore,Singapore
Westpac Stadium (formerly WestpacTrust Stadium),Wellington,New Zealand
"Docklands Stadium (Etihad Stadium, formerly Colonial Stadium/Telstra Dome)",Melbourne,Australia
North West Cricket Stadium (Senwes Park),Potchefstroom,South Africa
Barkatullah Khan Stadium,Jodhpur,India
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
Simba Union Ground,Nairobi,Kenya
Darren Sammy National Cricket Stadium (Beausejour),Gros Islet,Saint Lucia
National Cricket Stadium,Tangier,Morocco
Indira Gandhi Stadium (Indira Gandhi Municipal Corporation Stadium),Vijayawada,India
Kwekwe Sports Club,Kwekwe,Zimbabwe
Queenstown Events Centre (formerly Davies Park),Queenstown,New Zealand
City Oval (Alexandra Park),Pietermaritzburg,South Africa
Rose Bowl (Ageas Bowl),Southampton,England
Bundaberg Rum Stadium (Cazaly's Stadium),Cairns,Australia
Marrara Oval (Marrara Cricket Ground),Darwin,Australia
Multan Cricket Stadium,Multan,Pakistan
Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium (APCA-VDCA Stadium),Visakhapatnam,India
Rajiv Gandhi International Cricket Stadium,Hyderabad,India
Shaheed Chandu Stadium,Bogra,Bangladesh
Zohur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
Sheikh Abu Naser Stadium (Khulna Divisional Stadium),Khulna,Bangladesh
Fatullah Osmani Stadium,Fatullah,Bangladesh
Holkar Cricket Stadium (formerly Maharani Usharaje Trust Cricket Ground),Indore,India
Sheikh Zayed Cricket Stadium,Abu Dhabi,United Arab Emirates
Warner Park,Basseterre,Saint Kitts and Nevis
Stormont,Belfast,Northern Ireland
Cambusdoon New Ground,Ayr,Scotland
Kinrara Academy Oval,Puchong,Malaysia
Mombasa Sports Club Ground,Mombasa,Kenya
Shere-e-Bangla Stadium,Mirpur,Bangladesh
Jaffery Sports Club Ground,Nairobi,Kenya
Ruaraka Sports Club Ground,Nairobi,Kenya
Sir Vivian Richards Stadium,Antigua,Antigua and Barbuda
Providence Stadium,Providence,Guyana
Titwood,Glasgow,Scotland
Hazelaarweg Stadion,Rotterdam,Netherlands
Maple Leaf North-West Ground,King City,Canada
Mannofield Park,Aberdeen,Scotland
Dubai International Cricket Stadium (Dubai Sports City Stadium),Dubai,United Arab Emirates
Windsor Park,Roseau,Dominica
Vidarbha Cricket Association Stadium (Jamtha),Nagpur,India
University Oval,Dunedin,New Zealand
Sportpark Westvliet,Voorburg,Netherlands
Sportpark Thurlede,Schiedam,Netherlands
Mahinda Rajapaksa International Stadium (Hambantota Cricket Stadium),Hambantota,Sri Lanka
Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Cobham Oval (New),Whangarei,New Zealand
Saurashtra Cricket Association Stadium (Khanderi Cricket Stadium),Rajkot,India
JSCA International Cricket Stadium,Ranchi,India
Himachal Pradesh Cricket Association Stadium,Dharamshala,India
ICC Global Cricket Academy,Dubai,United Arab Emirates
Malahide Cricket Club Ground (The Village),Dublin,Ireland
Maharashtra Cricket Association Stadium,Pune,India
Saxton Oval,Nelson,New Zealand
Hagley Oval,Christchurch,New Zealand
Bert Sutcliffe Oval,Lincoln,New Zealand
Bay Oval,Mount Maunganui,New Zealand
Bayuemas Oval,Pandamaran,Malaysia
Tony Ireland Stadium,Townsville,Australia
Mission Road Ground,Mong Kok,Hong Kong
Greater Noida Sports Complex Ground,Greater Noida,India
Amini Park,Port Moresby,Papua New Guinea
Perth Stadium,Perth,Australia
Old Hararians,Harare,Zimbabwe
Dr. Bhupen Hazarika Cricket Stadium (Barsapara Cricket Stadium),Guwahati,India
Greenfield International Stadium (Trivandrum University Stadium),Thiruvananthapuram,India
Sylhet International Cricket Stadium (Sylhet Divisional Stadium),Sylhet,Bangladesh
Rajiv Gandhi International Cricket Stadium,Dehradun,India
Wanderers Cricket Ground,Windhoek,Namibia
Affies Park,Windhoek,Namibia
Sportpark Het Schootsveld,Deventer,Netherlands
Bready,Magheramason,Northern Ireland
Central Broward Regional Park,Lauderhill,USA
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium (Ekana International Cricket Stadium),Lucknow,India
Al Amerat Cricket Stadium (Ministry Turf 1),Muscat,Oman
Tribhuvan University International Cricket Ground (Kirtipur Cricket Stadium),Kirtipur,Nepal